Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
GTEX-WFON-1626-SM-4LVMV_prostate_male_40-49_years	1/1469	0.8820557459725189008992174422019161283969879150390625	0.99990558602903700791131313962978310883045196533203125	0.8827314119207760878538238102919422090053558349609375	0.9999121299421773745308428260614164173603057861328125	0.7559637586734153	-0.09487346752991033	EPHA3
GTEX-R55F-1726-SM-2TF4R_breast_male_50-59_years	2/2378	0.86214853357451259885380068226368166506290435791015625	0.99990558602903700791131313962978310883045196533203125	0.8633341863642221003516397104249335825443267822265625	0.9999121299421773745308428260614164173603057861328125	0.6399680717437185	-0.09492499883076728	PID1;PIK3R1
GTEX-QEG4-0226-SM-2S1PY_skin_male_30-39_years	1/1060	0.78255992007337571436664802604354918003082275390625	0.99990558602903700791131313962978310883045196533203125	0.78339429515889236199654988013207912445068359375	0.9999121299421773745308428260614164173603057861328125	0.38739457968077196	-0.09498325646805841	KLF5
GTEX-XQ3S-1126-SM-4BOPK_esophagus_male_20-29_years	1/1077	0.78796272400067002283918782268301583826541900634765625	0.99990558602903700791131313962978310883045196533203125	0.788790638683917411100310346228070557117462158203125	0.9999121299421773745308428260614164173603057861328125	0.3988760685183959	-0.09505396000040711	KLF5
GTEX-R55D-1126-SM-48FEB_esophagus_male_50-59_years	1/1598	0.90302330182237133815448260065750218927860260009765625	0.99990558602903700791131313962978310883045196533203125	0.9036485252409851565147391738719306886196136474609375	0.9999121299421773745308428260614164173603057861328125	0.9323071175740084	-0.09510177849073524	UNC5B
GTEX-XUW1-0926-SM-4BONX_skin_female_50-59_years	1/1444	0.8775149868878948655748217788641341030597686767578125	0.99990558602903700791131313962978310883045196533203125	0.8782004602727446762600038709933869540691375732421875	0.9999121299421773745308428260614164173603057861328125	0.7288234865055816	-0.09522898392320676	ENTPD2
GTEX-X585-0011-R2B-SM-46MVF_brain_male_50-59_years	2/1895	0.75811426813125371015900100246653892099857330322265625	0.99990558602903700791131313962978310883045196533203125	0.759496957881732104311822695308364927768707275390625	0.9999121299421773745308428260614164173603057861328125	0.3441160009665272	-0.09529300050625826	UNC5B;SPOCK2
GTEX-XAJ8-0006-SM-46MVM_blood_male_40-49_years	1/1596	0.90272753667132032973086097626946866512298583984375	0.99990558602903700791131313962978310883045196533203125	0.90335353848535426823929128659074194729328155517578125	0.9999121299421773745308428260614164173603057861328125	0.9315600856993078	-0.09533073778492247	ARHGDIB
GTEX-P44H-0226-SM-2XCEU_skin_male_40-49_years	2/1915	0.76344903430986488235276965497178025543689727783203125	0.99990558602903700791131313962978310883045196533203125	0.764825584184342321947269738302566111087799072265625	0.9999121299421773745308428260614164173603057861328125	0.35359050397375447	-0.09543722725095473	THBD;KLF5
GTEX-X261-0126-SM-3NMD6_skin_male_50-59_years	1/1553	0.8961540947984831806394367959001101553440093994140625	0.99990558602903700791131313962978310883045196533203125	0.8967968664867072003943349045584909617900848388671875	0.9999121299421773745308428260614164173603057861328125	0.8708699358135682	-0.09548470527873458	KLF5
GTEX-PSDG-1326-SM-48TD2_esophagus_male_50-59_years	1/1517	0.89032320070532355860137840863899327814579010009765625	0.99990558602903700791131313962978310883045196533203125	0.89098005387755707662478243946679867804050445556640625	0.9999121299421773745308428260614164173603057861328125	0.8230289579278887	-0.09561187923040722	KLF5
GTEX-UPIC-0226-SM-3GADO_thyroid_female_20-29_years	2/2277	0.84434114809333304929594987697782926261425018310546875	0.99990558602903700791131313962978310883045196533203125	0.845575002185542157207009950070641934871673583984375	0.9999121299421773745308428260614164173603057861328125	0.5652249536822832	-0.09563530597826092	COL4A4;COL4A3
GTEX-VJYA-0005-SM-3P5ZD_blood_male_60-69_years	1/992	0.75959073632378715235091704016667790710926055908203125	0.99990558602903700791131313962978310883045196533203125	0.7604508102388998214138382536475546658039093017578125	0.9999121299421773745308428260614164173603057861328125	0.3479128599669515	-0.09566751108969813	ARHGDIB
GTEX-TMMY-0426-SM-33HBB_muscle_female_40-49_years	1/1055	0.7809457582454493174139997790916822850704193115234375	0.99990558602903700791131313962978310883045196533203125	0.7817820306567646593265408228035084903240203857421875	0.9999121299421773745308428260614164173603057861328125	0.38715931804179765	-0.09572498002738944	FHL1
GTEX-QMR6-0011-R1A-SM-32PKW_brain_male_50-59_years	1/1528	0.8921375569922507242637266244855709373950958251953125	0.99990558602903700791131313962978310883045196533203125	0.892790104251510729937990618054755032062530517578125	0.9999121299421773745308428260614164173603057861328125	0.8391667069951847	-0.0957782471376881	CPE
GTEX-PVOW-2526-SM-2XCF7_brain_male_40-49_years	2/2717	0.90957374481856401171597781285527162253856658935546875	0.99990558602903700791131313962978310883045196533203125	0.91058284583148763058346730758785270154476165771484375	0.9999121299421773745308428260614164173603057861328125	1.011202415738673	-0.09584095751639748	SPOCK2;MAP6
GTEX-OIZH-0126-SM-2HMIS_skin_male_50-59_years	1/1590	0.90183501291481193984367337179719470441341400146484375	0.99990558602903700791131313962978310883045196533203125	0.902463350827226395978186701540835201740264892578125	0.9999121299421773745308428260614164173603057861328125	0.9287816671062818	-0.09596514734206076	KLF5
GTEX-TKQ2-1726-SM-4DXUP_liver_male_50-59_years	1/934	0.7381659476443236389542335018632002174854278564453125	0.99990558602903700791131313962978310883045196533203125	0.739047782762490168551039459998719394207000732421875	0.9999121299421773745308428260614164173603057861328125	0.3162356794779171	-0.09600492053510824	CFH
GTEX-OOBJ-1626-SM-2I3F7_muscle_male_60-69_years	1/1141	0.80716514345029055643720994339673779904842376708984375	0.99990558602903700791131313962978310883045196533203125	0.80796860360260047695390994704212062060832977294921875	0.9999121299421773745308428260614164173603057861328125	0.4484910664501664	-0.09607889251881084	FHL1
GTEX-WYVS-2126-SM-3NMA3_skin_female_40-49_years	1/1635	0.9083410708011945278173016049549914896488189697265625	0.99990558602903700791131313962978310883045196533203125	0.90895192450830852859411379540688358247280120849609375	0.9999121299421773745308428260614164173603057861328125	1.0000693468547532	-0.0961420089595587	KLF5
GTEX-N7MT-1926-SM-3LK5N_vagina_female_60-69_years	1/1475	0.88312112774202133902434752599219791591167449951171875	0.99990558602903700791131313962978310883045196533203125	0.883794440619686039184443870908580720424652099609375	0.9999121299421773745308428260614164173603057861328125	0.7735557370898399	-0.09614749382310399	KLF5
GTEX-QDT8-0011-R8A-SM-32PKE_brain_female_30-39_years	1/1432	0.875275992479985109895324058015830814838409423828125	0.99990558602903700791131313962978310883045196533203125	0.87596617407440813263264089982840232551097869873046875	0.9999121299421773745308428260614164173603057861328125	0.722308445991926	-0.09622305810783796	CPE
GTEX-WEY5-0006-SM-3GIKG_blood_female_40-49_years	1/989	0.758525296410545113445778042660094797611236572265625	0.99990558602903700791131313962978310883045196533203125	0.75938649913081091025190971777192316949367523193359375	0.9999121299421773745308428260614164173603057861328125	0.34821399842484024	-0.09623908199957255	ARHGDIB
GTEX-S7SF-0426-SM-3K2B7_lung_female_20-29_years	1/1609	0.90463457315982942485987905456568114459514617919921875	0.99990558602903700791131313962978310883045196533203125	0.9052555182796222510432926355861127376556396484375	0.9999121299421773745308428260614164173603057861328125	0.9608847209820841	-0.09630390570974569	COL15A1
