Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
GTEX-WK11-2726-SM-3NMAQ_skin_male_50-59_years	1/1417	0.30751145217292064071301638250588439404964447021484375	0.41254887808340046095878506093868054449558258056640625	0.317874091021665028389264762154198251664638519287109375	0.426358967892992823944808833402930758893489837646484375	-0.7995929381786434	0.9429143348893542	COL6A6
GTEX-S341-1526-SM-4AD6K_breast_female_40-49_years	1/1586	0.338435778332907111209948425312177278101444244384765625	0.422976377376972967336854480890906415879726409912109375	0.34958740485146899690249711056821979582309722900390625	0.43687120780774646444655218147090636193752288818359375	-0.8676224051369368	0.9400002721120336	COL6A6
GTEX-S341-1926-SM-3K2BA_nerve_female_40-49_years	1/1428	0.309558801721083909352927321378956548869609832763671875	0.41254887808340046095878506093868054449558258056640625	0.31997517171324274531940545784891583025455474853515625	0.426358967892992823944808833402930758893489837646484375	-0.7946591301075703	0.9318230298250431	TSC22D3
GTEX-R55F-0226-SM-48FCI_nerve_male_50-59_years	1/1672	0.3537425094395445501760377737809903919696807861328125	0.426822394152657047516896682282094843685626983642578125	0.36526628900616564532555230471189133822917938232421875	0.44072687849666625226063843001611530780792236328125	-0.8938461198277228	0.9288723783289295	TSC22D3
GTEX-XQ3S-0006-SM-4BOQ4_blood_male_20-29_years	1/1506	0.323937880385076315548076308914460241794586181640625	0.4173056321063499662926687960862182080745697021484375	0.3347256913242648845852045269566588103771209716796875	0.43120278503477693643475276985554955899715423583984375	-0.823831304639908	0.9286255372315687	G0S2
GTEX-REY6-0626-SM-2TF4G_nerve_male_60-69_years	1/1616	0.343807914991644647528801215230487287044525146484375	0.423970382217675745284424237979692406952381134033203125	0.355091570069454409708242792476085014641284942626953125	0.437884941329171717416812725787167437374591827392578125	-0.867121854947121	0.9258018675110958	TSC22D3
GTEX-U8XE-1426-SM-3DB8Q_lung_male_30-39_years	1/1463	0.316040902279737079272337041402352042496204376220703125	0.41254887808340046095878506093868054449558258056640625	0.326626008918613985887446915512555278837680816650390625	0.426358967892992823944808833402930758893489837646484375	-0.8032910365461642	0.9252978000855429	G0S2
GTEX-XMD1-0526-SM-4AT4Z_nerve_male_60-69_years	1/1579	0.33717723170826674472522199721424840390682220458984375	0.42291531566043472079030607346794568002223968505859375	0.348297708291043950357135372541961260139942169189453125	0.436863528712877258186608742107637226581573486328125	-0.848463894732764	0.9224046186618928	TSC22D3
GTEX-TSE9-0226-SM-3DB84_adipose tissue_female_60-69_years	1/1564	0.334473895923764030779778977375826798379421234130859375	0.42291531566043472079030607346794568002223968505859375	0.345527183330572584818440873277722857892513275146484375	0.436863528712877258186608742107637226581573486328125	-0.8421694113088446	0.9223409424485037	ENPP2
GTEX-R55E-0006-SM-2TC5G_blood_male_20-29_years	1/1500	0.32284037717842739567686294321902096271514892578125	0.416927458101611525531637880703783594071865081787109375	0.3336002063552603313922872985131107270717620849609375	0.430819392067073037022595372036448679864406585693359375	-0.8113390708627828	0.9172977354891338	G0S2
GTEX-S7SE-0011-R2A-SM-2XCDC_brain_male_50-59_years	1/1576	0.336637268554948132504023305955342948436737060546875	0.42291531566043472079030607346794568002223968505859375	0.34774435530732439314505199945415370166301727294921875	0.436863528712877258186608742107637226581573486328125	-0.8415489884637384	0.9162358575902038	ENPP2
GTEX-XAJ8-1126-SM-47JYA_nerve_male_40-49_years	1/1603	0.3414842909306281537595850750221870839595794677734375	0.422976377376972967336854480890906415879726409912109375	0.352711025878729211857631753446185030043125152587890625	0.43687120780774646444655218147090636193752288818359375	-0.852540639591254	0.9160153604058586	TSC22D3
GTEX-N7MT-0126-SM-2D7VT_lung_female_60-69_years	1/1531	0.32849550401776517194463167470530606806278228759765625	0.41808518693170115820834098485647700726985931396484375	0.339398855673506527619309736110153608024120330810546875	0.431962179948099211923562279480393044650554656982421875	-0.817853494809958	0.9104607860520065	COL6A6
GTEX-REY6-0005-SM-2TF54_blood_male_60-69_years	1/1502	0.323206369830871143022932301391847431659698486328125	0.416927458101611525531637880703783594071865081787109375	0.33397553712762595434782042502774856984615325927734375	0.430819392067073037022595372036448679864406585693359375	-0.8045981637791737	0.908764856691577	G0S2
GTEX-UJMC-1926-SM-3GADS_nerve_male_50-59_years	1/1654	0.35056246229925658308701486021163873374462127685546875	0.426626499077185472597051330012618564069271087646484375	0.36200995233451449539785471642971970140933990478515625	0.4405356706222336438116826684563420712947845458984375	-0.8666957590028984	0.9084846904195535	TSC22D3
GTEX-PLZ6-0006-SM-33HBZ_blood_male_30-39_years	1/1467	0.316778602814039633717158039871719665825366973876953125	0.41254887808340046095878506093868054449558258056640625	0.327382778917833794363190236254013143479824066162109375	0.426358967892992823944808833402930758893489837646484375	-0.7861199123144811	0.9036858455354452	TSC22D3
GTEX-X585-0011-R4B-SM-46MVH_brain_male_50-59_years	1/1627	0.345768931024255488093643862157477997243404388427734375	0.425286850562133389441754616200341843068599700927734375	0.35710040150149102711196746895438991487026214599609375	0.439224266446278377440393114738981239497661590576171875	-0.8501898715849968	0.902888513657723	ENPP2
GTEX-PWO3-0005-SM-2I5FS_blood_female_60-69_years	1/1493	0.321558155768820796982510046291281469166278839111328125	0.4167317816908349126236998927197419106960296630859375	0.33228521592118875904731112314038909971714019775390625	0.430631952569353548820885180248296819627285003662109375	-0.7940032327170484	0.9008576968306371	G0S2
GTEX-P4QR-0006-SM-2I5GN_blood_male_60-69_years	1/1447	0.313083725252803646288413119691540487110614776611328125	0.41254887808340046095878506093868054449558258056640625	0.323592114330448266112938426886103115975856781005859375	0.426358967892992823944808833402930758893489837646484375	-0.7728114130560192	0.8974540169457882	TSC22D3
GTEX-R55E-0008-SM-48FCG_skin_male_20-29_years	1/1599	0.340768006994388306107879316186881624162197113037109375	0.422976377376972967336854480890906415879726409912109375	0.35197713822609821843201416413648985326290130615234375	0.43687120780774646444655218147090636193752288818359375	-0.8334107304127565	0.8972111259394291	ENPP2
GTEX-X3Y1-2426-SM-3P5Z7_nerve_male_40-49_years	1/1518	0.326128617762785122380364555283449590206146240234375	0.417580704658613799384880849174805916845798492431640625	0.33697209923376636453440369223244488239288330078125	0.431453833843576273210373983602039515972137451171875	-0.8000633463382089	0.8964417311829227	TSC22D3
GTEX-RWS6-2426-SM-2XCB9_nerve_female_60-69_years	1/1565	0.334654392223080965340642478622612543404102325439453125	0.42291531566043472079030607346794568002223968505859375	0.345712177632360118106902291401638649404048919677734375	0.436863528712877258186608742107637226581573486328125	-0.8188200103487386	0.8963270107838357	TSC22D3
GTEX-SJXC-0008-SM-4DM7G_skin_male_60-69_years	1/1523	0.327039747135588199089539784836233593523502349853515625	0.417580704658613799384880849174805916845798492431640625	0.337906309629688650364442992213298566639423370361328125	0.431453833843576273210373983602039515972137451171875	-0.8017508733824933	0.8960957565731587	ENPP2
GTEX-PWOO-0326-SM-48TDB_adrenal gland_female_40-49_years	1/1582	0.3377168431550605642854634425020776689052581787109375	0.422976377376972967336854480890906415879726409912109375	0.348850685679037375575006763028795830905437469482421875	0.43687120780774646444655218147090636193752288818359375	-0.8185030262710131	0.8885238948774326	G0S2
GTEX-SNMC-1526-SM-2XCFN_blood vessel_male_20-29_years	1/1570	0.335556286603333975282481560498126782476902008056640625	0.42291531566043472079030607346794568002223968505859375	0.346636521696544741555356949902488850057125091552734375	0.436863528712877258186608742107637226581573486328125	-0.8046544013055135	0.8786548998282544	ANGPTL1
GTEX-OOBJ-0526-SM-48TDK_lung_male_60-69_years	1/1521	0.326675413747102016959189541012165136635303497314453125	0.417580704658613799384880849174805916845798492431640625	0.3375327519268667142426920690922997891902923583984375	0.431453833843576273210373983602039515972137451171875	-0.7850032977965914	0.87825244189629	COL6A6
GTEX-S4Q7-0226-SM-4AD5O_adrenal gland_male_20-29_years	1/1622	0.3448781421491691201453022586065344512462615966796875	0.4247399629055743641714570912881754338741302490234375	0.3561879177919180516909136713366024196147918701171875	0.43866869047594569952508436472271569073200225830078125	-0.8142660924012627	0.8668384787292928	G0S2
GTEX-OXRL-0005-SM-3LK6A_blood_male_50-59_years	1/1575	0.336457202678911937443473334496957249939441680908203125	0.42291531566043472079030607346794568002223968505859375	0.347559820794592244652676527039147913455963134765625	0.436863528712877258186608742107637226581573486328125	-0.7943122550623628	0.865231885976648	TSC22D3
GTEX-T2IS-0526-SM-32QP9_lung_female_20-29_years	1/1557	0.333209324394799555335566765279509127140045166015625	0.42291531566043472079030607346794568002223968505859375	0.344231051270368570982327582896687090396881103515625	0.436863528712877258186608742107637226581573486328125	-0.7838438282106757	0.8614321272492397	COL6A6
GTEX-QEG5-0006-SM-2I5FZ_blood_male_20-29_years	1/1527	0.327767940849861327823333567721419967710971832275390625	0.41771764349272821892355977979605086147785186767578125	0.338652919495607218625110590437543578445911407470703125	0.431589798339783226044374941920978017151355743408203125	-0.7696673417469412	0.8585249887141415	G0S2
GTEX-S4Z8-0008-SM-33HAZ_skin_male_60-69_years	1/1563	0.334293360374526837830444492283277213573455810546875	0.42291531566043472079030607346794568002223968505859375	0.345342147186225190136354967762599699199199676513671875	0.436863528712877258186608742107637226581573486328125	-0.781527917892779	0.8563485458553843	ENPP2
